Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
T1,3,2,1,31.1,36,26,1.38,0.66,0.99,0.054,68.9,-2.3,1441,0.67,1,1,,0.67,,0.33,0.6,,0.67,0.67,0.5,0.517,3.66,1.43,1.53
BRION,3,2,1,37.3,34,30,1.13,0.57,-0.91,-0.026,47.5,19.2,-1166,0.67,0.33,0,,0.33,,1,0.5,,0.33,0.6,0.489,0.47,4.3,1.48,1.71
DN Freecs,3,1,2,29.4,24,40,0.6,0.73,-1.35,-0.121,24.3,9,-2250,0.67,0.33,0.33,,0.5,,1,0.64,,0.33,0.5,0.478,0.463,3.93,1.47,1.43
Hanwha Life Esports,3,2,1,29.4,40,24,1.67,0.73,1.35,0.121,75.7,-9,2250,0.33,0.67,0.67,,0.5,,0,0.36,,0.67,0.5,0.522,0.537,3.5,1.55,2.07
KT Rolster,3,1,2,37.3,30,34,0.88,0.57,0.91,0.026,52.5,-19.2,1166,0.33,0.67,1,,0.67,,0,0.5,,0.67,0.4,0.511,0.53,3.41,1.38,2.07
Dplus KIA,2,2,0,34.8,38,24,1.58,0.89,1.59,0.105,64.9,35.1,1875,0.5,0.5,1,,0.5,,0.5,0.64,,1,1,0.498,0.592,3.97,1.47,2.31
Gen.G,2,2,0,28.1,44,11,4,0.98,3.99,0.238,89.6,10.4,5229,0.5,1,1,,0.75,,0.5,0.71,,1,1,0.532,0.553,3.06,1.51,1.57
Liiv SANDBOX,2,0,2,34.8,24,38,0.63,0.89,-1.59,-0.105,35.1,-35.1,-1875,0.5,0.5,0,,0.5,,0.5,0.36,,0,0,0.502,0.408,4.21,1.69,1.87
Nongshim RedForce,2,0,2,28.1,11,44,0.25,0.98,-3.99,-0.238,10.4,-10.4,-5229,0.5,0,0,,0.25,,0.5,0.29,,0,0,0.468,0.447,3.43,0.98,1.24
BRION,2,0,2,25,3,35,0.09,0.76,-5.21,-0.314,1.1,-1.1,-7656,0,0,0,,0,,0.5,0.17,,0,0,0.468,0.399,3.12,1.32,1.95
DN Freecs,3,1,2,36,38,49,0.78,0.81,1.02,0.007,71.9,-38.6,1988,1,0.67,1,,0.8,,0.33,0.53,,0.33,0.2,0.498,0.507,3.65,1.41,2.13
KT Rolster,3,2,1,36,49,38,1.29,0.81,-1.02,-0.007,28.1,38.6,-1988,0,0.33,0,,0.2,,0.67,0.47,,0.67,0.8,0.502,0.493,4.01,1.4,1.49
T1,2,2,0,25,35,3,11.67,0.76,5.21,0.314,98.9,1.1,7656,1,1,1,,1,,0.5,0.83,,1,1,0.532,0.601,3.93,1.66,1.48
Dplus KIA,2,2,0,29,38,21,1.81,1.02,1.31,0.083,78.6,21.4,1738,0,1,1,,1,,1,1,,0.5,0.5,0.506,0.612,4.11,1.69,1.59
DRX,2,0,2,29,21,38,0.55,1.02,-1.31,-0.083,21.4,-21.4,-1738,1,0,0,,0,,0,0,,0.5,0.5,0.494,0.388,3.18,1.43,1.57
Hanwha Life Esports,2,0,2,31.6,15,28,0.54,0.68,-2.67,-0.094,9.4,-9.4,-3303,0,0,0,,0,,0,0.22,,0,0,0.495,0.401,4.3,1.63,2.06
Liiv SANDBOX,2,2,0,31.6,28,15,1.87,0.68,2.67,0.094,90.6,9.4,3303,1,1,1,,1,,1,0.78,,0.5,1,0.505,0.599,4.34,1.26,2.34
BRION,2,0,2,29.2,9,30,0.3,0.67,-1.92,-0.144,24.4,-24.4,-1972,0.5,0,0,,0,,0.5,0.29,,0,0,0.477,0.447,4.23,1.59,2.1
Dplus KIA,3,2,1,35.3,38,36,1.06,0.7,0,0.022,57.8,8.9,370,0.33,0.33,0.33,,0.5,,0.67,0.64,1,0.67,0.75,0.496,0.54,3.89,1.66,1.77
Gen.G,2,2,0,29.2,30,9,3.33,0.67,1.92,0.144,75.6,24.4,1972,0.5,1,1,,1,,0.5,0.71,,1,1,0.523,0.553,4.24,1.43,1.91
T1,3,1,2,35.3,36,38,0.95,0.7,0,-0.022,42.2,-8.9,-370,0.67,0.67,0.67,,0.5,,0.33,0.36,0,0.33,0.25,0.504,0.46,3.41,1.56,1.74
BRION,2,2,0,37.1,36,20,1.8,0.76,-0.24,0.009,56.7,43.3,-113,1,0.5,0,,0.25,,1,0.8,,0.5,0.67,0.497,0.558,4.77,1.66,2.06
